Submit_date,Call_time,Pick_up,Good_time_for_3min_talk,Day,Job,Submission_ID
2024-03-24 8:36:07,2:00 PM,No,No,Sunday,,5871001676847816723
2024-03-24 8:39:50,2:00 PM,Yes,No,Sunday,,5871003906846165155
2024-03-24 8:40:00,2:00 PM,No,No,Sunday,,5871004006845429672
2024-03-24 8:46:44,2:00 PM,No,No,Sunday,,5871008046844309522
2024-03-24 8:47:52,12:00 PM,No,No,Sunday,,5871008726846340551
2024-03-24 8:51:02,3:00 PM,Yes,Yes,Sunday,,5871010626842945537
2024-03-24 8:53:11,3:00 PM,No,No,Sunday,,5871011916843433374
2024-03-24 9:05:08,3:00 PM,No,No,Sunday,Standard 9-5 or similar,5871019086843529261
2024-03-24 9:05:40,3:00 PM,No,No,Sunday,,5871019406841181538
2024-03-24 12:10:00,6:00 PM,Yes,Yes,Sunday,"12 hour days, VERY busy",5871130006844141165
2024-03-25 6:24:21,12:30 PM,Yes,Yes,Monday,Standard 9-5 or similar,5871786619124311829
2024-03-25 6:25:16,12:30 PM,No,,Monday,,5871787169125619154
2024-03-25 6:32:36,12:30 PM,No,,Monday,Standard 9-5 or similar,5871791569122237192
2024-03-25 6:42:56,12:30 PM,Yes,No,Monday,"12 hour days, VERY busy",5871797769124483801
2024-03-25 6:51:22,1:00 PM,No,,Monday,"Standard 9-5 or similar
12 hour days, VERY busy",5871802829121555028
2024-03-25 7:00:20,1:00 PM,Yes,Yes,Monday,"Standard 9-5 or similar
Entrepreneurs, can pick hours",5871808209124895993
2024-03-25 7:00:57,1:00 PM,No,,Monday,Standard 9-5 or similar,5871808579123658359
2024-03-25 7:01:35,1:30 PM,Yes,Yes,Monday,"12 hour days, VERY busy",5871808959126070328
2024-03-25 8:40:55,2.30 PM,No,No,Monday,,5871868559126744227
2024-03-25 9:07:44,3:00 PM,Yes,No,Monday,"Entrepreneurs, can pick hours",5871884649121982481
2024-03-25 9:08:11,3:00 PM,No,,Monday,,5871884919125842986
2024-03-25 9:17:09,3:30 PM,No,,Monday,"Standard 9-5 or similar
12 hour days, VERY busy",5871890299128184120
2024-03-25 12:03:52,6:00 PM,No,No,Monday,,5871990329128815388
2024-03-25 12:35:23,6:00 PM,No,Yes,Monday,"12 hour days, VERY busy",5872009239122208731
2024-03-26 9:48:10,3:30 PM,Yes,Yes,Tuesday,"Standard 9-5 or similar
Entrepreneurs, can pick hours",5872772905332166574
2024-03-26 9:53:53,3:30 PM,Yes,No,Tuesday,Standard 9-5 or similar,5872776335339442126
